189601;-2.0
189602;0.2
189603;0.7
189604;1.1
189605;5.5
189606;9.3
189607;13.5
189608;9.7
189609;8.5
189610;2.2
189611;-1.1
189612;-2.4
189701;-3.6
189702;1.2
189703;1.6
189704;1.9
189705;5.6
189706;11.5
189707;13.7
189708;12.3
189709;7.5
189710;4.1
189711;3.8
189712;-1.3
189801;2.0
189802;-2.6
189803;-1.6
189804;2.4
189805;4.2
189806;9.1
189807;13.4
189808;15.5
189809;13.2
189810;6.7
189811;2.8
189812;0.3
189901;-1.3
189902;0.9
189903;1.7
189904;2.4
189905;6.3
189906;10.2
189907;12.9
189908;15.1
189909;9.8
189910;9.2
189911;4.7
189912;-1.4
190001;-2.9
190002;-0.8
190003;-4.3
190004;2.0
190005;5.9
190006;10.6
190007;14.1
190008;11.2
190009;12.2
190010;6.5
190011;0.1
190012;1.7
190101;-2.5
190102;-7.9
190103;-3.6
190104;2.7
190105;6.6
190106;11.9
190107;13.4
190108;12.2
190109;9.3
190110;4.4
190111;0.8
190112;-1.8
190201;0.4
190202;-2.7
190203;0.1
190204;3.7
190205;1.8
190206;7.9
190207;14.5
190208;12.0
190209;8.8
190210;3.8
190211;0.8
190212;-2.3
190301;-1.8
190302;1.2
190303;-1.0
190304;-1.0
190305;6.4
190306;8.8
190307;10.7
190308;11.9
190309;8.0
190310;5.4
190311;1.1
190312;-2.6
190401;-3.0
190402;-3.6
190403;-1.3
190404;3.2
190405;8.6
190406;11.1
190407;16.5
190408;14.5
190409;7.9
190410;6.3
190411;0.7
190412;0.3
190501;-4.1
190502;-2.9
190503;-0.2
190504;2.8
190505;4.4
190506;10.2
190507;15.2
190508;11.6
190509;8.4
190510;1.1
190511;-1.3
190512;0.7
190601;-2.3
190602;-5.3
190603;-2.5
190604;0.8
190605;6.5
190606;11.5
190607;13.2
190608;14.6
190609;10.6
190610;7.0
190611;2.6
190612;-4.9
190701;-2.9
190702;-4.9
190703;-0.8
190704;-0.1
190705;4.8
190706;9.9
190707;10.9
190708;14.6
190709;11.1
190710;4.2
190711;2.8
190712;0.0
190801;-1.3
190802;-2.8
190803;-2.7
190804;-0.3
190805;8.7
190806;10.3
190807;11.6
190808;11.9
190809;8.6
190810;6.3
190811;2.2
190812;-1.6
190901;-2.8
190902;-6.1
190903;-3.5
190904;3.7
190905;6.2
190906;6.6
190907;9.9
190908;12.4
190909;7.9
190910;6.6
190911;0.5
190912;-0.1
191001;-1.4
191002;-3.4
191003;-1.0
191004;-0.1
191005;2.7
191006;9.5
191007;9.6
191008;11.7
191009;7.0
191010;5.0
191011;-0.6
191012;-0.9
191101;-1.8
191102;-1.9
191103;-1.4
191104;0.3
191105;5.2
191106;12.6
191107;16.2
191108;16.6
191109;12.6
191110;5.0
191111;2.1
191112;0.7
191201;-0.6
191202;0.5
191203;0.8
191204;1.1
191205;7.2
191206;8.3
191207;10.7
191208;7.9
191209;5.4
191210;4.5
191211;-1.4
191212;0.6
191301;-0.6
191302;-1.8
191303;1.1
191304;0.3
191305;5.0
191306;8.3
191307;9.7
191308;11.8
191309;8.7
191310;7.3
191311;2.4
191312;-1.1
191401;-5.1
191402;-0.8
191403;-0.6
191404;4.1
191405;4.7
191406;8.1
191407;10.0
191408;10.5
191409;9.3
191410;4.5
191411;0.1
191412;-0.8
191507;11.9
191508;11.8
191509;8.6
191510;2.5
191511;-0.5
191512;0.8
191601;1.2
191602;-2.9
191603;-2.0
191604;1.9
191605;6.9
191606;7.4
191607;11.8
191608;12.7
191609;7.0
191610;5.7
191611;1.7
191612;-1.2
191701;-4.4
191702;-2.9
191703;-3.3
191704;-1.4
191705;7.6
191706;10.9
191707;12.6
191708;10.7
191709;12.6
191710;3.0
191711;1.5
191712;-4.2
191801;-1.2
191802;-0.6
191803;-0.9
191804;-0.3
191805;7.0
191806;9.1
191807;12.6
191808;12.9
191809;9.9
191810;2.9
191811;1.8
191812;1.4
191901;-4.2
191902;-3.3
191903;-1.9
191904;-0.4
191905;6.6
191906;10.7
191907;9.3
191908;15.1
191909;10.4
191910;1.9
191911;-2.1
191912;-1.2
192001;-0.1
192002;0.9
192003;1.4
192004;2.2
192005;10.1
192006;10.4
192007;12.2
192008;11.5
192009;9.5
192010;5.5
192011;2.0
192012;-2.1
192101;0.2
192102;-1.8
192103;0.2
192104;0.9
192105;6.6
192106;11.2
192107;14.8
192108;11.2
192109;12.7
192110;8.7
192111;0.0
192112;-0.8
192201;-3.7
192202;-1.4
192203;-0.6
192204;-0.5
192205;10.1
192206;9.6
192207;10.7
192208;12.5
192209;6.9
192210;4.2
192211;0.6
192212;-2.4
192301;-4.7
192302;-1.3
192303;-1.8
192304;1.2
192305;5.6
192306;6.8
192307;14.4
192308;15.4
192309;9.7
192310;6.9
192311;-0.4
192312;-3.3
192401;-2.5
192402;-5.1
192403;0.3
192404;2.3
192405;8.3
192406;10.1
192407;12.8
192408;9.5
192409;10.1
192410;4.7
192411;3.1
192412;0.6
192501;0.4
192502;-2.8
192503;-4.7
192504;0.9
192505;5.6
192506;11.5
192507;10.4
192508;11.9
192509;6.7
192510;7.1
192511;0.0
192512;-2.0
192601;-1.7
192602;2.9
192603;1.9
192604;2.5
192605;3.6
192606;7.6
192607;11.0
192608;13.7
192609;11.7
192610;6.6
192611;2.3
192612;-2.4
192701;-2.7
192702;-2.2
192703;-1.3
192704;2.3
192705;6.9
192706;9.0
192707;11.4
192708;11.7
192709;8.5
192710;7.3
192711;2.1
192712;-0.9
192801;-1.6
192802;-0.4
192803;-0.6
192804;1.0
192805;4.1
192806;9.5
192807;15.4
192808;14.9
192809;10.5
192810;6.0
192811;1.9
192812;-1.6
192901;-5.3
192902;-4.3
192903;1.7
192904;1.0
192905;6.3
192906;10.9
192907;14.4
192908;13.0
192909;12.8
